"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NATCOPHARM","EQ","03-Nov-2025","819.90","819.90","833.50","809.90","832.95","831.50","824.28","4,80,835","39,63,44,800.25","35,812","2,40,555","50.03"
"NATCOPHARM","EQ","04-Nov-2025","831.50","825.10","837.20","818.80","819.95","819.85","822.96","3,52,816","29,03,54,123.05","25,282","2,33,808","66.27"
"NATCOPHARM","EQ","06-Nov-2025","819.85","826.70","826.70","795.20","801.00","800.50","804.48","6,66,933","53,65,33,697.05","42,935","3,57,971","53.67"
"NATCOPHARM","EQ","07-Nov-2025","800.50","802.95","805.00","795.10","803.95","802.50","799.98","3,84,061","30,72,42,976.35","32,872","2,09,277","54.49"
"NATCOPHARM","EQ","10-Nov-2025","802.50","808.10","808.10","793.10","797.60","798.80","798.98","3,74,592","29,92,89,721.15","30,500","2,21,967","59.26"
"NATCOPHARM","EQ","11-Nov-2025","798.80","800.90","803.25","792.05","793.00","792.95","795.03","3,15,001","25,04,36,288.00","28,113","2,03,107","64.48"
"NATCOPHARM","EQ","12-Nov-2025","792.95","797.40","829.00","797.20","823.95","822.35","816.36","8,96,956","73,22,41,092.85","41,998","4,01,770","44.79"
"NATCOPHARM","EQ","13-Nov-2025","822.35","828.00","831.95","821.15","825.80","826.15","827.43","4,57,469","37,85,24,531.10","19,348","1,88,667","41.24"
"NATCOPHARM","EQ","14-Nov-2025","826.15","827.90","830.00","807.00","812.30","812.65","818.55","9,74,189","79,74,21,934.05","40,189","3,18,781","32.72"
"NATCOPHARM","EQ","17-Nov-2025","812.65","812.65","825.90","805.60","820.00","820.90","818.89","5,19,967","42,57,95,212.10","26,527","2,62,193","50.42"
"NATCOPHARM","EQ","18-Nov-2025","820.90","821.95","824.90","812.10","814.00","814.55","816.29","2,84,672","23,23,75,441.95","18,406","1,65,860","58.26"
"NATCOPHARM","EQ","19-Nov-2025","814.55","818.00","848.00","811.40","830.10","830.15","836.48","23,13,933","1,93,55,63,688.65","90,082","5,34,931","23.12"
"NATCOPHARM","EQ","20-Nov-2025","830.15","831.70","887.65","828.30","869.00","869.30","871.84","77,51,429","6,75,79,94,376.25","1,71,673","14,55,008","18.77"
"NATCOPHARM","EQ","21-Nov-2025","869.30","869.00","872.90","857.00","862.00","864.80","864.53","7,31,845","63,27,04,696.30","35,613","2,70,903","37.02"
"NATCOPHARM","EQ","24-Nov-2025","864.80","855.50","864.10","837.35","840.60","841.25","849.51","9,77,040","83,00,01,968.45","40,308","4,59,497","47.03"
"NATCOPHARM","EQ","25-Nov-2025","841.25","841.25","850.95","826.95","832.05","834.00","838.81","4,65,131","39,01,55,412.05","25,362","1,79,936","38.69"
"NATCOPHARM","EQ","26-Nov-2025","834.00","834.00","938.15","834.00","924.05","927.40","909.60","1,94,83,069","17,72,17,16,274.25","4,07,292","17,88,567","9.18"
"NATCOPHARM","EQ","27-Nov-2025","927.40","927.00","934.50","876.00","883.00","882.75","893.12","54,61,313","4,87,76,22,056.55","1,46,326","9,45,244","17.31"
"NATCOPHARM","EQ","28-Nov-2025","882.75","887.10","900.90","869.25","876.00","877.25","883.50","21,43,680","1,89,39,30,563.75","61,372","3,58,280","16.71"